pessoa feliz;predict_arvore;proba_arvore;predict_naive;proba_naive;predict_reg;proba_reg
1;1;0.9;0;4.468027954253244e-16;1;0.8881103720602732
1;1;1.0;1;1.0;1;0.983541901046735
0;0;0.5;0;6.95678952427382e-16;1;0.7730078051493856
1;1;0.8461538461538461;0;5.873386355313426e-20;1;0.5879197636454045
1;1;1.0;0;1.2426050195225696e-17;1;0.9442668015244897
0;0;0.3333333333333333;0;3.209581776020251e-50;0;0.018671996421839487
1;1;0.9;0;7.678551852143215e-19;1;0.9872173279014356
1;1;1.0;0;1.3484515262624933e-19;1;0.9671341481334477
1;1;0.875;0;1.6278807562439923e-11;1;0.9836590779431629
1;1;0.8461538461538461;0;8.52199444508546e-22;1;0.6600568163552514
1;1;1.0;0;6.958668861966725e-19;1;0.9655811143612962
1;1;1.0;0;1.1322728626555536e-19;1;0.8031587044281091
1;1;1.0;0;2.4220325504478508e-18;1;0.9777054720357103
1;1;1.0;0;8.451708240106749e-20;1;0.9647282553503729
1;1;1.0;0;1.1398539216274866e-15;1;0.9418125575057849
1;1;1.0;0;7.094092752375303e-20;1;0.9863685294696687
1;1;1.0;1;1.0;1;0.9999977016635765
1;1;0.5714285714285714;0;4.1735627041246027e-19;0;0.4778054886884079
1;1;1.0;1;1.0;1;0.9994671304855655
0;1;0.6666666666666666;0;3.759247336790076e-17;1;0.8337635156022639
1;1;0.875;0;1.2000527398454295e-11;1;0.9669042165932064
1;1;1.0;0;2.9611433091408614e-14;1;0.9853432708807587
1;1;1.0;1;1.0;1;0.9884332975780019
1;1;0.5714285714285714;0;2.683279244893968e-20;1;0.8108821130943273
1;0;0.5;0;7.261440636906954e-17;1;0.7967763368797655
1;1;1.0;0;2.1063727782091264e-26;1;0.8946759063982089
1;1;0.6666666666666666;0;3.494886030962024e-17;1;0.8579817360256186
1;1;1.0;0;2.2132997647704938e-12;1;0.9989275773783636
1;1;0.875;0;1.6794554144209723e-17;0;0.46834028777691206
1;1;0.5714285714285714;0;4.405439064232948e-20;1;0.7063813291236186
1;1;0.8571428571428571;0;4.434224043459805e-11;1;0.9998440969161535
1;1;1.0;1;1.0;1;0.9999023202143739
1;1;0.8571428571428571;0;4.952434532419645e-19;1;0.5404814487902158
0;0;0.5;0;1.4748493217827976e-21;0;0.45098577185242694
1;1;1.0;0;4.682697588637633e-12;1;0.9995122385887927
0;1;0.8571428571428571;0;0.0;0;0.10713291288030648
1;1;1.0;1;1.0;1;0.9995108511105962
1;1;1.0;0;1.5332196726931834e-17;1;0.9209172394972265
1;1;1.0;1;1.0;1;0.9883524823790741
1;1;1.0;1;1.0;1;0.9999976575006687
1;1;1.0;0;1.3758049812883688e-09;1;0.9998425376809907
1;0;0.5;0;3.3857907820018273e-22;1;0.6224501494503135
1;1;0.9;0;1.2877943437762957e-17;1;0.8812119452696456
0;0;0.3333333333333333;0;7.585275843068025e-43;0;0.2860454166734327
1;1;1.0;0;1.4167790715913566e-15;1;0.9803944074826852
1;1;0.6666666666666666;0;8.626338863521541e-20;1;0.9008093204822173
1;1;1.0;1;1.0;1;0.9956199651436308
1;1;0.9;1;1.0;1;0.99941468430271
1;1;0.9;0;1.4862784974949869e-18;1;0.9442169732685839
1;1;1.0;0;0.0001438249348897416;1;0.999989657830002
1;1;1.0;0;5.4767194565524435e-11;1;0.9995723217770275
1;0;0.3333333333333333;0;8.55890540751584e-19;1;0.7863130328121355
1;1;1.0;0;7.126006428534383e-20;1;0.9336511732465586
1;1;0.6666666666666666;0;1.5646028150867166e-19;0;0.46353254495305873
1;1;0.8571428571428571;0;0.00023657268421899851;1;0.9999922466895087
1;1;1.0;0;1.7121558990511173e-12;1;0.9112192141313528
1;1;0.5714285714285714;0;4.877632571754484e-17;1;0.9435462241092246
1;1;1.0;0;1.266659936192206e-09;1;0.9993406339210273
1;0;0.2857142857142857;0;4.642549758422656e-18;1;0.742859868523585
1;1;1.0;0;9.38710161066927e-18;1;0.8803694903002495
1;1;0.7777777777777778;0;6.876031099129568e-16;1;0.888760769616145
1;1;0.8571428571428571;0;7.72732955508486e-12;1;0.999460891147199
1;1;1.0;1;1.0;1;0.999996142274147
1;0;0.3333333333333333;0;4.301973226831618e-20;1;0.7475573161697073
1;1;0.6666666666666666;0;5.993053004849664e-20;1;0.6970680266416184
